Sample ID,MYTH score
TCGA-2G-AAEW-01,0.030909718
TCGA-2G-AAEX-01,0.020591056
TCGA-2G-AAF1-01,0.01530694
TCGA-2G-AAF4-01,0.016901839
TCGA-2G-AAF6-01,0.027968335
TCGA-2G-AAF8-01,0.013756719
TCGA-2G-AAFE-01,0.032763604
TCGA-2G-AAFG-05,0.012462463
TCGA-2G-AAFG-01,0.011394416
TCGA-2G-AAFH-01,0.017713911
TCGA-2G-AAFI-01,0.021773236
TCGA-2G-AAFJ-01,0.044404571
TCGA-2G-AAFL-01,0.016785483
TCGA-2G-AAFM-01,0.02312116
TCGA-2G-AAFN-01,0.026642258
TCGA-2G-AAFO-01,0.01325337
TCGA-2G-AAFV-01,0.044091241
TCGA-2G-AAFY-01,0.023097936
TCGA-2G-AAFZ-01,0.046496498
TCGA-2G-AAG0-01,0.020877468
TCGA-2G-AAG3-01,0.014049118
TCGA-2G-AAG5-01,0.032721912
TCGA-2G-AAG6-01,0.036609582
TCGA-2G-AAG7-01,0.032110968
TCGA-2G-AAG8-01,0.010458615
TCGA-2G-AAG9-01,0.032194397
TCGA-2G-AAGA-01,0.02684671
TCGA-2G-AAGC-01,0.016928774
TCGA-2G-AAGE-01,0.018590616
TCGA-2G-AAGF-01,0.026043287
TCGA-2G-AAGG-01,0.028090251
TCGA-2G-AAGI-05,0.017757846
TCGA-2G-AAGI-01,0.03557363
TCGA-2G-AAGJ-01,0.017318936
TCGA-2G-AAGK-01,0.019009616
TCGA-2G-AAGM-01,0.046834794
TCGA-2G-AAGN-01,0.011250595
TCGA-2G-AAGO-01,0.022108171
TCGA-2G-AAGP-01,0.02348389
TCGA-2G-AAGS-01,0.028115131
TCGA-2G-AAGT-01,0.036371873
TCGA-2G-AAGV-01,0.034294005
TCGA-2G-AAGW-01,0.050378371
TCGA-2G-AAGX-01,0.04012724
TCGA-2G-AAGY-05,0.073685949
TCGA-2G-AAGY-01,0.04089572
TCGA-2G-AAGZ-01,0.021936294
TCGA-2G-AAH0-01,0.021195645
TCGA-2G-AAH2-01,0.023877923
TCGA-2G-AAH3-01,0.027024743
TCGA-2G-AAH4-01,0.037608146
TCGA-2G-AAH8-01,0.083056177
TCGA-2G-AAHA-01,0.025685082
TCGA-2G-AAHC-01,0.013508902
TCGA-2G-AAHG-01,0.048841615
TCGA-2G-AAHL-01,0.047276301
TCGA-2G-AAHN-01,0.017679097
TCGA-2G-AAHP-05,0.023764123
TCGA-2G-AAHP-01,0.069056168
TCGA-2G-AAHT-01,0.033624082
TCGA-2G-AAKD-01,0.028092219
TCGA-2G-AAKG-05,0.027586672
TCGA-2G-AAKG-01,0.019419381
TCGA-2G-AAKH-01,0.008643054
TCGA-2G-AAKL-01,0.023062505
TCGA-2G-AAKM-01,0.021108647
TCGA-2G-AAKO-05,0.015228164
TCGA-2G-AAKO-01,0.016700159
TCGA-2G-AAL5-01,0.048475106
TCGA-2G-AAL7-01,0.019195631
TCGA-2G-AALF-01,0.042098592
TCGA-2G-AALG-01,0.020797963
TCGA-2G-AALN-01,0.027252679
TCGA-2G-AALO-01,0.025449549
TCGA-2G-AALP-01,0.029677555
TCGA-2G-AALQ-01,0.05050729
TCGA-2G-AALR-01,0.065722543
TCGA-2G-AALS-01,0.01917448
TCGA-2G-AALT-01,0.028376326
TCGA-2G-AALW-01,0.028458204
TCGA-2G-AALX-01,0.041788258
TCGA-2G-AALY-01,0.024730238
TCGA-2G-AALZ-01,0.030764346
TCGA-2G-AAM2-01,0.055572251
TCGA-2G-AAM3-01,0.028780756
TCGA-2G-AAM4-01,0.055150528
TCGA-2X-A9D5-01,0.025808452
TCGA-2X-A9D6-01,0.016291388
TCGA-4K-AA1G-01,0.057645011
TCGA-4K-AA1H-01,0.016266126
TCGA-4K-AA1I-01,0.015560648
TCGA-4K-AAAL-01,0.026567301
TCGA-S6-A8JW-01,0.057539593
TCGA-S6-A8JX-01,0.108246924
TCGA-S6-A8JY-01,0.054531918
TCGA-SB-A6J6-01,0.018608676
TCGA-SB-A76C-01,0.051842159
TCGA-SN-A6IS-01,0.026631456
TCGA-SN-A84W-01,0.045268167
TCGA-SN-A84X-01,0.009282295
TCGA-SN-A84Y-01,0.031602017
TCGA-SO-A8JP-01,0.085896823
TCGA-VF-A8A8-01,0.038832889
TCGA-VF-A8A9-01,0.012187572
TCGA-VF-A8AA-01,0.017612622
TCGA-VF-A8AB-01,0.010779083
TCGA-VF-A8AC-01,0.0151268
TCGA-VF-A8AD-01,0.010233654
TCGA-VF-A8AE-01,0.015088659
TCGA-W4-A7U2-01,0.033337957
TCGA-W4-A7U3-01,0.023560095
TCGA-W4-A7U4-01,0.026713332
TCGA-WZ-A7V3-01,0.041259636
TCGA-WZ-A7V4-01,0.014841392
TCGA-WZ-A7V5-01,0.020201343
TCGA-WZ-A8D5-01,0.022771027
TCGA-X3-A8G4-01,0.018532331
TCGA-XE-A8H1-01,0.017641283
TCGA-XE-A8H4-01,0.016378024
TCGA-XE-A8H5-01,0.066675932
TCGA-XE-A9SE-01,0.01661481
TCGA-XE-AANI-01,0.031820341
TCGA-XE-AANJ-01,0.032371641
TCGA-XE-AANR-01,0.023504271
TCGA-XE-AANV-01,0.03118885
TCGA-XE-AAO3-01,0.04421561
TCGA-XE-AAO4-01,0.027968743
TCGA-XE-AAO6-01,0.025761835
TCGA-XE-AAOB-01,0.019860776
TCGA-XE-AAOC-01,0.050644891
TCGA-XE-AAOD-01,0.011822749
TCGA-XE-AAOF-01,0.019251505
TCGA-XE-AAOJ-01,0.036427268
TCGA-XE-AAOL-01,0.102867172
TCGA-XY-A89B-01,0.020212249
TCGA-XY-A8S2-01,0.018599728
TCGA-XY-A8S3-01,0.02659473
TCGA-XY-A9T9-01,0.017857158
TCGA-YU-A90P-01,0.023193004
TCGA-YU-A90Q-01,0.09886288
TCGA-YU-A90S-01,0.021339432
TCGA-YU-A90W-01,0.042913532
TCGA-YU-A90Y-01,0.015115687
TCGA-YU-A912-01,0.057025737
TCGA-YU-A94D-01,0.057253226
TCGA-YU-A94I-01,0.056109984
TCGA-YU-AA4L-01,0.033790237
TCGA-YU-AA61-01,0.02078715
TCGA-ZM-AA05-01,0.01738428
TCGA-ZM-AA06-01,0.029652945
TCGA-ZM-AA0B-01,0.022032907
TCGA-ZM-AA0D-01,0.01600543
TCGA-ZM-AA0E-01,0.016000788
TCGA-ZM-AA0F-01,0.015999714
TCGA-ZM-AA0H-01,0.018437956
TCGA-ZM-AA0N-01,0.01309812
